adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
346,69,, ,2012,0,0,2232,1996,0,346,2012,-819,1750,66,-110,-110,2232,0,2167,069-2012-2012- -1750,069-2012-2012- -1750-000,2017,9
984,69,, ,2013,0,0,2107,1123,0,984,2013,-540,1750,59,0,0,2107,0,2048,069-2013-2013- -1750,069-2013-2013- -1750-000,2017,9
285,69,, ,2014,0,0,1081,799,0,285,2014,-826,1750,98,-3,-3,1081,0,984,069-2014-2014- -1750,069-2014-2014- -1750-000,2017,9
0,69,, ,2014,0,0,0,0,0,0,2015,-276,1750,0,0,0,0,0,0,069-2014-2015- -1750,069-2014-2015- -1750-000,2017,9
204,69,, ,2015,0,0,1062,858,0,204,2015,-3679,1750,72,0,0,1062,0,990,069-2015-2015- -1750,069-2015-2015- -1750-000,2017,9
0,69,, ,2015,0,0,0,0,0,0,2016,-600,1750,0,0,0,0,0,0,069-2015-2016- -1750,069-2015-2016- -1750-000,2017,9
727,69,, ,2016,0,0,3657,2930,0,727,2016,-13660,1750,302,0,0,3657,0,3355,069-2016-2016- -1750,069-2016-2016- -1750-000,2017,9
0,69,, ,2016,0,0,3469,3469,0,0,2017,-1139,1750,3120,0,0,3469,0,349,069-2016-2017- -1750,069-2016-2017- -1750-000,2017,9
0,69,, ,2017,0,124052,129052,0,0,0,2017,-68771,1750,77982,5000,5000,129052,0,51070,069-2017-2017- -1750,069-2017-2017- -1750-000,2017,9
0,69,, ,2017,0,5400,5400,0,0,0,2018,-396,1750,2126,0,0,5400,0,3274,069-2017-2018- -1750,069-2017-2018- -1750-000,2017,9
0,69,X,X,0,0,0,47063,47063,0,0,0,0,1752,42063,0,0,47063,0,5000,069-0000-0000-X-1752,069-0000-0000-X-1752-000,2017,9
2000,69,X,X,0,0,34000,36644,644,0,173,0,-4193,1768,6429,0,0,36644,0,30216,069-0000-0000-X-1768,069-0000-0000-X-1768-000,2017,9
2,69,X,X,0,0,10000,10494,492,0,2,0,-2573,1770,6,0,0,10494,0,10488,069-0000-0000-X-1770,069-0000-0000-X-1770-000,2017,9
0,69,X,X,0,0,328000,328000,0,0,0,0,-321373,1774,321513,0,0,328000,0,6487,069-0000-0000-X-1774,069-0000-0000-X-1774-000,2017,9
